id;start_date;end_date;language
1;2021-11-16T02:18:03;2021-11-16T00:08:18;ENGLISH
2;2021-11-15T11:45:38;2021-11-15T21:11:07;FRENCH
3;2021-11-15T21:41:50;2021-11-15T09:46:58;SPANISH
4;2021-11-16T02:12:39;2021-11-15T07:38:58;FRENCH
5;2021-11-16T04:29:02;2021-11-15T12:48:00;ENGLISH
6;2021-11-15T13:59:45;2021-11-16T04:00:05;SPANISH
7;2021-11-15T22:03:33;2021-11-15T08:37:42;FRENCH
8;2021-11-15T12:29:26;2021-11-15T09:05:15;FRENCH
9;2021-11-15T13:21:04;2021-11-16T00:52:30;FRENCH
10;2021-11-15T09:18:02;2021-11-16T02:15:31;FRENCH
